month,x_score,y_score
5월,-0.026778489,0.007570565
5월,0.009109765,0.021477073
5월,-0.0086101,-0.002211481
5월,-0.01220426,0.02319321
5월,-0.015013218,0.008095086
5월,-0.00222829,0.022984207
6월,0.00088191,0.0168823
6월,-0.005490869,0.018128306
6월,-0.018089205,0.007905394
6월,-0.01828739,0.000546426
6월,0.008130699,0.003088057
6월,-0.014084637,-0.004747838
6월,-0.018314183,0.006637812
6월,-0.005048066,-0.006220371
6월,-0.001804352,-0.00301528
6월,-0.0010086,0.013053685
6월,-0.016673207,0.002848685
6월,0.001104087,0.021828413
6월,-0.024060309,0.008713037
6월,-0.030589908,0.003237426
6월,-0.017271072,0.005552828
6월,-0.011659712,0.015458912
6월,-0.003540069,0.011405528
6월,-0.028977543,-0.000187218
6월,-0.022248507,0.005764693
6월,-0.020667255,0.018502772
6월,-0.00144738,0.003697217
6월,-0.023851573,-0.007079065
6월,-0.006593287,0.022492647
6월,-0.00685671,0.006998867
6월,-0.015620261,0.016250461
6월,-0.010247678,0.032729298
6월,-0.009272397,0.008344412
6월,-0.014921308,0.009960949
7월,0.000670463,-0.019614995
7월,4.22E-05,-0.000376731
7월,-0.021482944,-0.004369199
7월,-0.002373427,-0.002435744
7월,-0.014401644,0.008696258
7월,-0.006474733,-0.002817988
7월,-0.014039248,0.01134488
7월,-0.011737823,0.002466142
7월,-0.010869712,0.005791485
7월,5.42E-06,0.003181547
7월,-0.000322223,-0.006066948
7월,-0.006927669,0.00547719
7월,-0.009304285,-0.011322051
7월,-0.005775928,-0.00653106
7월,-0.011366814,0.010094523
7월,0.011415511,0.006793559
7월,0.008953452,0.003486991
7월,0.00254631,0.013559163
7월,-0.00511241,0.013860941
7월,-0.022881716,0.00719893
7월,-0.013426363,0.00940901
7월,0.003498644,0.010192901
7월,0.00124225,0.003153563
7월,-0.007697225,0.00592199
7월,-0.006453902,0.009341419
7월,-0.007959872,-0.006906122
7월,-0.005890787,0.000661135
8월,-0.030317992,0.018630236
8월,0.009127885,-0.014998376
8월,0.002197564,-0.000838041
8월,0.001999587,0.027297705
8월,-0.014373779,0.003554046
8월,-0.003972113,-0.00817579
8월,-0.014052808,-0.005407423
8월,-0.006348968,0.019384176
8월,-0.018024236,0.019245595
8월,-0.025814772,0.00947392
8월,-0.010993958,-0.002064675
8월,-0.01104793,0.000597775
8월,-0.013696462,-0.00756976
8월,0.003744334,0.006874412
8월,-0.016285062,0.003295183
8월,-0.017670304,-0.000340879
8월,-0.005095959,0.014061034
8월,-0.016471148,0.00984931
8월,-0.003211617,0.002329707
8월,-0.003110349,-0.005600214
8월,-0.005872965,0.004957557
8월,-0.029274762,0.010677904
8월,-0.006788254,0.014037371
8월,-0.009604156,0.002181321
8월,0.00520727,0.025444508
8월,-0.019245893,0.00997892
8월,-0.005064279,0.001469821
8월,-0.019062161,0.005018502
8월,-0.009771824,0.000801116
8월,-0.024067581,0.004672825
8월,-0.012978584,0.015490055
8월,-0.014082223,0.001014322
8월,-0.009954423,-0.013124585
8월,-0.007998168,0.007746458
8월,-0.012476623,-0.005948722
8월,0.009248525,0.013795674
9월,-0.013299793,-0.00145635
9월,-0.015789419,-0.003418028
9월,-0.018162578,0.008172452
9월,-0.013032228,0.00022921
9월,-0.011195987,0.003837496
9월,0.002939939,0.020504624
9월,0.002170056,0.006478608
9월,-0.025837928,0.004806966
9월,-0.004169673,-0.015801787
9월,-0.024798453,0.00810644
9월,-0.012126803,-0.001833081
9월,-0.018140018,-0.002655655
9월,-0.014260083,-0.010905474
9월,-0.008871913,-0.000467688
9월,0.000106603,0.002311558
9월,-0.017611414,0.007978648
9월,-0.029840916,0.013835877
9월,-0.026828229,0.00848335
9월,-0.023018301,0.001209915
9월,-0.018800586,0.007389277
9월,-0.014001667,-0.004727185
9월,-0.007266164,0.00995779
10월,-0.00711143,0.011620611
10월,-0.005484819,-0.013431519
10월,-0.018921345,0.003438979
10월,-0.026653141,-0.012770444
10월,-0.010932267,0.007609934
10월,-0.007382333,0.008975655
10월,-0.038975835,-0.008940279
10월,-0.009494662,0.0078924
10월,-0.027313203,0.000535071
10월,-0.012315005,0.007925451
10월,-0.008364677,0.011660427
10월,-0.01341325,-0.001284868
10월,-0.005547673,0.014665216
10월,-0.028444529,-0.003895611
10월,-0.021072507,0.0138053
